[*] Computing DDT
[+] DDT Computed
DDT took 315.152751ms
Iter#1 New set #1 of size 34 (1.0 its/hit = 0.000s/hit): seed=734713444413843910 [0, 301, 339, 527, 800, 856, 926, 962, 1044, 1118, 1162, 1305, 1426, 1497, 1506, 1618, 1917, 2004, 2213, 2267, 2376, 2467, 2555, 2746, 2885, 2989, 3061, 3516, 3556, 3642, 3797, 4017, 4018, 4074]
Iter#74415 New set #300 of size 43 (248.1 its/hit = 0.083s/hit): seed=7698482466749517880 [0, 35, 360, 604, 616, 651, 760, 935, 1173, 1233, 1341, 1347, 1389, 1411, 1508, 1533, 1866, 1875, 1922, 2120, 2137, 2336, 2397, 2421, 2627, 2771, 2850, 3083, 3086, 3095, 3189, 3203, 3253, 3275, 3293, 3398, 3509, 3542, 3587, 3744, 3769, 3836, 3887]
Iter#101475 New set #400 of size 43 (253.7 its/hit = 0.085s/hit): seed=4941623991790972537 [0, 10, 59, 81, 90, 105, 141, 372, 441, 522, 537, 655, 824, 928, 1057, 1066, 1094, 1121, 1210, 1604, 1684, 1783, 1890, 1988, 2211, 2232, 2330, 2489, 2500, 2737, 2746, 2777, 2819, 3082, 3108, 3143, 3187, 3555, 3697, 3777, 3786, 3808, 3956]
Iter#130277 New set #500 of size 43 (260.6 its/hit = 0.088s/hit): seed=10913440948401443341 [0, 57, 128, 408, 465, 499, 539, 673, 707, 722, 1192, 1419, 1457, 1517, 1585, 1616, 1672, 1915, 1997, 2131, 2197, 2354, 2406, 2438, 2443, 2682, 2722, 2751, 2896, 3081, 3244, 3503, 3561, 3613, 3633, 3724, 3734, 3817, 3850, 3898, 3971, 4041, 4078]
Iter#154704 New set #600 of size 43 (257.8 its/hit = 0.088s/hit): seed=10439249011958231048 [0, 12, 47, 221, 299, 316, 389, 430, 662, 685, 913, 920, 1045, 1189, 1274, 1285, 1313, 1321, 1691, 1720, 1891, 1924, 1995, 2110, 2263, 2289, 2434, 2595, 2899, 2922, 2928, 3237, 3321, 3358, 3454, 3524, 3559, 3732, 3815, 3843, 3900, 3908, 4071]
Iter#180922 New set #700 of size 43 (258.5 its/hit = 0.089s/hit): seed=15903625837751165897 [0, 40, 284, 409, 473, 851, 890, 891, 908, 920, 1128, 1231, 1248, 1539, 1577, 1631, 2052, 2151, 2238, 2260, 2399, 2578, 2653, 2709, 2807, 2889, 3107, 3167, 3177, 3191, 3295, 3378, 3423, 3429, 3491, 3508, 3527, 3672, 3711, 3748, 3852, 3876, 4056]
Iter#216147 New set #800 of size 43 (270.2 its/hit = 0.092s/hit): seed=10839261106874178306 [0, 14, 121, 208, 262, 264, 351, 499, 612, 764, 770, 805, 1054, 1085, 1369, 1393, 1458, 1479, 1860, 1920, 2063, 2144, 2362, 2432, 2457, 2498, 2560, 2562, 2705, 2721, 3033, 3039, 3137, 3298, 3308, 3387, 3437, 3556, 3562, 3603, 3839, 3961, 4058]
Iter#242619 New set #900 of size 43 (269.6 its/hit = 0.092s/hit): seed=7537609638376602656 [0, 168, 256, 362, 386, 424, 703, 734, 740, 841, 1035, 1088, 1106, 1128, 1719, 1833, 1857, 1890, 1912, 1936, 2141, 2279, 2468, 2475, 2755, 2837, 2863, 2905, 2944, 2993, 3083, 3157, 3235, 3296, 3339, 3403, 3481, 3491, 3560, 3713, 3780, 3786, 3975]
Iter#271379 New set #1000 of size 43 (271.4 its/hit = 0.092s/hit): seed=16979052342932839851 [1, 58, 287, 463, 548, 613, 640, 642, 699, 815, 862, 911, 1152, 1191, 1317, 1394, 1404, 1482, 1720, 1765, 1786, 1854, 1873, 2019, 2086, 2117, 2242, 2445, 2589, 2772, 2903, 2911, 3267, 3320, 3363, 3411, 3506, 3650, 3689, 3705, 3770, 3937, 3941]
Iter#546291 New set #2000 of size 43 (273.1 its/hit = 0.093s/hit): seed=16796682439274107450 [0, 134, 225, 255, 375, 386, 460, 511, 527, 944, 1037, 1039, 1447, 1532, 1557, 1584, 1656, 1752, 1768, 2014, 2037, 2042, 2043, 2047, 2067, 2201, 2235, 2408, 2585, 2807, 2971, 3034, 3043, 3060, 3085, 3090, 3112, 3169, 3278, 3526, 3555, 3603, 3756]
Iter#814962 New set #3000 of size 43 (271.7 its/hit = 0.093s/hit): seed=15315759228479460875 [0, 42, 45, 196, 265, 292, 329, 423, 442, 881, 954, 978, 1054, 1072, 1279, 1370, 1388, 1564, 1688, 1717, 1763, 1778, 1886, 1919, 1937, 1980, 2041, 2062, 2127, 2176, 2228, 2428, 2687, 2803, 2849, 2945, 2956, 3044, 3054, 3156, 3743, 4007, 4047]
