[*] Computing DDT
[+] DDT Computed
DDT took 317.363989ms
Iter#1 New set #1 of size 25 (1.0 its/hit = 0.000s/hit): seed=137428018303002592 [212, 221, 578, 637, 1071, 1095, 1162, 1231, 1451, 1690, 1718, 2052, 2346, 2367, 2584, 2696, 3010, 3127, 3561, 3638, 3705, 3711, 3719, 3754, 4088]
Iter#23502 New set #20 of size 36 (1175.1 its/hit = 0.350s/hit): seed=13630762542590072189 [5, 204, 221, 234, 361, 375, 401, 403, 986, 1008, 1122, 1357, 1595, 1799, 1815, 1818, 1861, 1878, 2162, 2192, 2297, 2369, 2392, 2410, 2472, 2523, 2618, 2726, 2749, 2938, 3133, 3141, 3363, 3692, 3736, 3829]
Iter#41988 New set #30 of size 36 (1399.6 its/hit = 0.467s/hit): seed=12749440575004973299 [27, 367, 641, 782, 824, 932, 1051, 1065, 1169, 1246, 1378, 1392, 1443, 1552, 1623, 1955, 2010, 2022, 2169, 2256, 2350, 2410, 2816, 2879, 2882, 2909, 3327, 3331, 3477, 3558, 3610, 3650, 3809, 3865, 3870, 4058]
Iter#62300 New set #40 of size 36 (1557.5 its/hit = 0.500s/hit): seed=17641208072382241158 [53, 74, 200, 938, 1174, 1237, 1518, 1534, 1553, 1567, 1635, 1639, 1745, 1887, 2000, 2120, 2188, 2428, 2530, 2545, 2561, 2798, 2974, 2980, 3117, 3144, 3275, 3289, 3439, 3462, 3761, 3863, 3907, 3935, 3964, 3983]
Iter#99940 New set #50 of size 36 (1998.8 its/hit = 0.660s/hit): seed=16237396385267853288 [55, 506, 774, 870, 888, 1018, 1043, 1048, 1098, 1368, 1529, 1592, 1721, 1812, 1978, 1995, 2016, 2058, 2073, 2122, 2341, 2627, 2708, 2896, 3334, 3369, 3384, 3394, 3584, 3613, 3798, 3927, 3928, 3957, 4031, 4071]
Iter#116617 New set #60 of size 36 (1943.6 its/hit = 0.650s/hit): seed=42402240119452924 [73, 141, 223, 230, 307, 335, 391, 504, 583, 595, 698, 873, 885, 977, 1043, 1112, 1166, 1462, 1483, 1801, 1904, 1975, 2175, 2560, 2600, 2610, 2671, 2853, 2918, 3141, 3290, 3368, 3482, 3574, 3773, 3870]
Iter#141187 New set #70 of size 36 (2017.0 its/hit = 0.671s/hit): seed=2276744754646110540 [72, 343, 410, 498, 589, 608, 783, 800, 819, 842, 879, 960, 1197, 1247, 1285, 1328, 1411, 1448, 1752, 1872, 2164, 2216, 2288, 2324, 2425, 2494, 2567, 2656, 2667, 2980, 3083, 3148, 3251, 3531, 3623, 3924]
Iter#153458 New set #80 of size 36 (1918.2 its/hit = 0.637s/hit): seed=3817111423691960545 [115, 146, 554, 572, 760, 1067, 1126, 1223, 1412, 1476, 1479, 1488, 1507, 1534, 1794, 1873, 1946, 1958, 1989, 2039, 2172, 2330, 2331, 2466, 2649, 2863, 3033, 3173, 3304, 3354, 3586, 3607, 3688, 3720, 3725, 3954]
Iter#170659 New set #90 of size 36 (1896.2 its/hit = 0.633s/hit): seed=4123445998398970072 [53, 89, 123, 240, 421, 445, 506, 611, 995, 1210, 1288, 1325, 1369, 1402, 1606, 1653, 2166, 2245, 2270, 2275, 2531, 2574, 2668, 2685, 2702, 2875, 3031, 3109, 3115, 3640, 3725, 3762, 3913, 3998, 4073, 4079]
Iter#183333 New set #100 of size 36 (1833.3 its/hit = 0.610s/hit): seed=15813706999449038245 [1, 56, 484, 769, 882, 948, 978, 997, 1023, 1064, 1140, 1288, 1308, 1379, 1533, 1581, 1847, 1865, 1903, 2087, 2163, 2247, 2430, 2585, 2760, 2767, 2950, 2985, 3025, 3041, 3174, 3360, 3369, 3473, 3490, 3872]
Iter#385652 New set #200 of size 36 (1928.3 its/hit = 0.645s/hit): seed=14566925422147377154 [38, 130, 204, 239, 281, 291, 361, 454, 596, 679, 693, 919, 1054, 1176, 1229, 1298, 1451, 1579, 1723, 1893, 1944, 2189, 2257, 2431, 2692, 2712, 2879, 2965, 3016, 3026, 3044, 3095, 3113, 3647, 3781, 4081]
